feature_type,regressor,train_size,trial,method,coverage,width
Univariate,Ridge,876,9,MAPIE_Online,0.895738203957382,171.66187461124957
Univariate,Ridge,876,9,MAPIE_Batch,0.7356671740233384,72.82847846726133
Univariate,Ridge,1654,0,Original_GitHub,0.8999437095412327,194.00763061842397
Univariate,Ridge,1654,0,Reimplementation,0.8999437095412327,194.00763061842397
Univariate,Ridge,1654,0,MAPIE_Online,0.900225161835069,175.719470699719
Univariate,Ridge,1654,0,MAPIE_Batch,0.8253588516746412,103.46983854138358
Univariate,Ridge,1654,1,Original_GitHub,0.8993808049535603,193.76475300596223
Univariate,Ridge,1654,1,MAPIE_Online,0.900225161835069,175.719470699719
Univariate,Ridge,1654,1,MAPIE_Batch,0.8253588516746412,103.46983854138358
Univariate,Ridge,1654,2,Original_GitHub,0.8995215311004785,194.42752936757194
Univariate,Ridge,1654,2,MAPIE_Online,0.900225161835069,175.719470699719
Univariate,Ridge,1654,2,MAPIE_Batch,0.8253588516746412,103.46983854138358
Univariate,Ridge,1654,3,Original_GitHub,0.900225161835069,193.4160188644132
Univariate,Ridge,1654,3,MAPIE_Online,0.900225161835069,175.719470699719
Univariate,Ridge,1654,3,MAPIE_Batch,0.8253588516746412,103.46983854138358
Univariate,Ridge,1654,4,Original_GitHub,0.8993808049535603,195.8737414710236
Univariate,Ridge,1654,4,MAPIE_Online,0.900225161835069,175.719470699719
Univariate,Ridge,1654,4,MAPIE_Batch,0.8253588516746412,103.46983854138358
Univariate,Ridge,1654,5,Original_GitHub,0.9000844356881509,194.7354841195297
Univariate,Ridge,1654,5,MAPIE_Online,0.900225161835069,175.719470699719
Univariate,Ridge,1654,5,MAPIE_Batch,0.8253588516746412,103.46983854138358
Univariate,Ridge,1654,6,Original_GitHub,0.8992400788066423,196.10737970123657
Univariate,Ridge,1654,6,MAPIE_Online,0.900225161835069,175.719470699719
Univariate,Ridge,1654,6,MAPIE_Batch,0.8253588516746412,103.46983854138358
Univariate,Ridge,1654,7,Original_GitHub,0.8995215311004785,193.82681175956643
Univariate,Ridge,1654,7,MAPIE_Online,0.900225161835069,175.719470699719
Univariate,Ridge,1654,7,MAPIE_Batch,0.8253588516746412,103.46983854138358
Univariate,Ridge,1654,8,Original_GitHub,0.8995215311004785,195.25674012674727
Univariate,Ridge,1654,8,MAPIE_Online,0.900225161835069,175.719470699719
Univariate,Ridge,1654,8,MAPIE_Batch,0.8253588516746412,103.46983854138358
Univariate,Ridge,1654,9,Original_GitHub,0.8995215311004785,193.00123550039424
Univariate,Ridge,1654,9,MAPIE_Online,0.900225161835069,175.719470699719
Univariate,Ridge,1654,9,MAPIE_Batch,0.8253588516746412,103.46983854138358
Univariate,Ridge,2433,0,Original_GitHub,0.9048522206416943,191.77051960124305
Univariate,Ridge,2433,0,Reimplementation,0.9048522206416943,191.77051960124305
