feature_type,regressor,alpha,trial,method,coverage,width
Univariate,Ridge,0.05,7,MAPIE_Online,0.951769406392694,301.1049682778873
Univariate,Ridge,0.05,7,MAPIE_Batch,0.877283105022831,149.18642221078704
Univariate,Ridge,0.05,8,Original_GitHub,0.949486301369863,300.7460233986348
Univariate,Ridge,0.05,8,MAPIE_Online,0.951769406392694,301.1049682778873
Univariate,Ridge,0.05,8,MAPIE_Batch,0.877283105022831,149.18642221078704
Univariate,Ridge,0.05,9,Original_GitHub,0.9489155251141552,301.355265271391
Univariate,Ridge,0.05,9,MAPIE_Online,0.951769406392694,301.1049682778873
Univariate,Ridge,0.05,9,MAPIE_Batch,0.877283105022831,149.18642221078704
Univariate,Ridge,0.1,0,Original_GitHub,0.8999714611872146,196.00035493075674
Univariate,Ridge,0.1,0,Reimplementation,0.8999714611872146,196.00035493075674
Univariate,Ridge,0.1,0,MAPIE_Online,0.8978310502283106,175.871251510094
Univariate,Ridge,0.1,0,MAPIE_Batch,0.8159246575342466,100.08868036582635
Univariate,Ridge,0.1,1,Original_GitHub,0.8986872146118722,196.43809685278404
Univariate,Ridge,0.1,1,MAPIE_Online,0.8978310502283106,175.871251510094
Univariate,Ridge,0.1,1,MAPIE_Batch,0.8159246575342466,100.08868036582635
Univariate,Ridge,0.1,2,Original_GitHub,0.8982591324200914,197.76783871161945
Univariate,Ridge,0.1,2,MAPIE_Online,0.8978310502283106,175.871251510094
Univariate,Ridge,0.1,2,MAPIE_Batch,0.8159246575342466,100.08868036582635
Univariate,Ridge,0.1,3,Original_GitHub,0.9001141552511416,196.22541309681634
Univariate,Ridge,0.1,3,MAPIE_Online,0.8978310502283106,175.871251510094
Univariate,Ridge,0.1,3,MAPIE_Batch,0.8159246575342466,100.08868036582635
Univariate,Ridge,0.1,4,Original_GitHub,0.898829908675799,198.80991538523574
Univariate,Ridge,0.1,4,MAPIE_Online,0.8978310502283106,175.871251510094
Univariate,Ridge,0.1,4,MAPIE_Batch,0.8159246575342466,100.08868036582635
Univariate,Ridge,0.1,5,Original_GitHub,0.899115296803653,197.05115553946038
Univariate,Ridge,0.1,5,MAPIE_Online,0.8978310502283106,175.871251510094
Univariate,Ridge,0.1,5,MAPIE_Batch,0.8159246575342466,100.08868036582635
Univariate,Ridge,0.1,6,Original_GitHub,0.8986872146118722,199.15236853866995
Univariate,Ridge,0.1,6,MAPIE_Online,0.8978310502283106,175.871251510094
Univariate,Ridge,0.1,6,MAPIE_Batch,0.8159246575342466,100.08868036582635
Univariate,Ridge,0.1,7,Original_GitHub,0.899115296803653,196.7667353791911
Univariate,Ridge,0.1,7,MAPIE_Online,0.8978310502283106,175.871251510094
Univariate,Ridge,0.1,7,MAPIE_Batch,0.8159246575342466,100.08868036582635
Univariate,Ridge,0.1,8,Original_GitHub,0.8995433789954338,198.53489406022567
Univariate,Ridge,0.1,8,MAPIE_Online,0.8978310502283106,175.871251510094
Univariate,Ridge,0.1,8,MAPIE_Batch,0.8159246575342466,100.08868036582635
